field_num	field	attr_1	attr_2	attr_3	attr_4	attr_5	attr_6	attr_7
111	codeBook/stdyDscr/dataAccs/useStmt/confDec	required						
112	codeBook/stdyDscr/dataAccs/useStmt/restrctn							
113	codeBook/stdyDscr/dataAccs/useStmt/contact	affiliation	URI	email				
114	codeBook/stdyDscr/dataAccs/useStmt/citReq							
115	codeBook/stdyDscr/dataAccs/useStmt/deposReq							
116	codeBook/stdyDscr/dataAccs/useStmt/conditions							
117	codeBook/stdyDscr/dataAccs/useStmt/disclaimer							
118	codeBook/stdyDscr/othrStdyMat							
119	codeBook/stdyDscr/othrStdyMat/relMat							
120	codeBook/stdyDscr/othrStdyMat/relMat/citation							
121	codeBook/stdyDscr/othrStdyMat/relMat/citation/titlStmt							
122	codeBook/stdyDscr/othrStdyMat/relMat/citation/titlStmt/titl							
123	codeBook/stdyDscr/othrStdyMat/relMat/citation/holdings	URI						
124	codeBook/stdyDscr/othrStdyMat/relStdy							
125	codeBook/stdyDscr/othrStdyMat/relStdy/citation							
126	codeBook/stdyDscr/othrStdyMat/relStdy/citation/titlStmt							
127	codeBook/stdyDscr/othrStdyMat/relStdy/citation/titlStmt/titl							
128	codeBook/stdyDscr/othrStdyMat/relStdy/citation/titlStmt/IDNo	agency						
129	codeBook/stdyDscr/othrStdyMat/relStdy/citation/holdings	URI						
130	codeBook/stdyDscr/othrStdyMat/relPubl/citation/notes							
131	codeBook/stdyDscr/othrStdyMat/relPubl							
132	codeBook/stdyDscr/othrStdyMat/relPubl/citation							
133	codeBook/stdyDscr/othrStdyMat/relPubl/citation/titlStmt							
134	codeBook/stdyDscr/othrStdyMat/relPubl/citation/titlStmt/titl							
135	codeBook/stdyDscr/othrStdyMat/relPubl/citation/holdings	URI						
136	codeBook/stdyDscr/othrStdyMat/othRefs							
137	codeBook/stdyDscr/othrStdyMat/othRefs/citation							
138	codeBook/stdyDscr/othrStdyMat/othRefs/citation/titlStmt							
139	codeBook/stdyDscr/othrStdyMat/othRefs/citation/titlStmt/titl							
140	codeBook/stdyDscr/othrStdyMat/othRefs/citation/holdings	URI						
141	codeBook/fileDscr	URI						
142	codeBook/fileDscr/fileTxt							
143	codeBook/fileDscr/fileTxt/fileName	ID						
144	codeBook/fileDscr/fileTxt/fileCont							
145	codeBook/fileDscr/fileTxt/dimensns							
146	codeBook/fileDscr/fileTxt/dimensns/caseQnty							
147	codeBook/fileDscr/fileTxt/dimensns/varQnty							
148	codeBook/fileDscr/fileTxt/fileType							
149	codeBook/fileDscr/fileTxt/dataMsng							
150	codeBook/fileDscr/notes							
151	codeBook/dataDscr							
152	codeBook/dataDscr/varGrp	ID	type	var	varGrp			
153	codeBook/dataDscr/varGrp/labl							
154	codeBook/dataDscr/varGrp/txt							
155	codeBook/dataDscr/var	ID	name	wgt	wgt-var	files	dcml	intrvl
156	codeBook/dataDscr/var/location	width	RecSegNo					
157	codeBook/dataDscr/var/labl							
158	codeBook/dataDscr/var/qstn							
159	codeBook/dataDscr/var/qstn/preQTxt							
160	codeBook/dataDscr/var/qstn/qstnLit							
161	codeBook/dataDscr/var/qstn/postQTxt							
162	codeBook/dataDscr/var/qstn/ivuInstr							
163	codeBook/dataDscr/var/valrng							
164	codeBook/dataDscr/var/valrng/range	UNITS	min	max				
165	codeBook/dataDscr/var/invalrng							
166	codeBook/dataDscr/var/invalrng/item	UNITS	VALUE					
167	codeBook/dataDscr/var/invalrng/range	UNITS	min	max				
168	codeBook/dataDscr/var/universe	clusion						
169	codeBook/dataDscr/var/sumStat	wgtd	type					
170	codeBook/dataDscr/var/txt							
171	codeBook/dataDscr/var/catgry	missing						
172	codeBook/dataDscr/var/catgry/catValu							
173	codeBook/dataDscr/var/catgry/labl							
174	codeBook/dataDscr/var/catgry/catStat	type	wgtd					
175	codeBook/dataDscr/var/concept							
176	codeBook/dataDscr/var/varFormat	type	formatname	schema	category			
177	codeBook/dataDscr/var/notes							
178	codeBook/otherMat	level	URI					
179	codeBook/otherMat/labl							
180	codeBook/otherMat/txt							
