field_num	field	attr_1	attr_2	attr_3	attr_4	attr_5	attr_6	attr_7
78	codeBook/stdyDscr/stdyInfo/sumDscr/geogUnit							
79	codeBook/stdyDscr/stdyInfo/sumDscr/anlyUnit	unit						
80	codeBook/stdyDscr/stdyInfo/sumDscr/universe							
81	codeBook/stdyDscr/stdyInfo/sumDscr/dataKind	type						
82	codeBook/stdyDscr/method							
83	codeBook/stdyDscr/method/dataColl							
84	codeBook/stdyDscr/method/dataColl/timeMeth	method						
85	codeBook/stdyDscr/method/dataColl/dataCollector	abbr	affiliation					
86	codeBook/stdyDscr/method/dataColl/frequenc							
87	codeBook/stdyDscr/method/dataColl/sampProc/ExtLink	URI	title					
88	codeBook/stdyDscr/method/dataColl/sampProc							
89	codeBook/stdyDscr/method/dataColl/deviat							
90	codeBook/stdyDscr/method/dataColl/collMode							
91	codeBook/stdyDscr/method/dataColl/collMode/ExtLink	URI	title					
92	codeBook/stdyDscr/method/dataColl/resInstru	type						
93	codeBook/stdyDscr/method/dataColl/collSitu							
94	codeBook/stdyDscr/method/dataColl/actMin							
95	codeBook/stdyDscr/method/dataColl/weight/ExtLink	URI	title					
96	codeBook/stdyDscr/method/dataColl/weight							
97	codeBook/stdyDscr/method/dataColl/cleanOps							
98	codeBook/stdyDscr/method/dataColl/sources							
99	codeBook/stdyDscr/method/dataColl/sources/dataSrc							
100	codeBook/stdyDscr/method/notes							
101	codeBook/stdyDscr/method/anlyInfo							
102	codeBook/stdyDscr/method/anlyInfo/respRate							
103	codeBook/stdyDscr/dataAccs							
104	codeBook/stdyDscr/dataAccs/setAvail							
105	codeBook/stdyDscr/dataAccs/setAvail/accsPlac	URI						
106	codeBook/stdyDscr/dataAccs/setAvail/origArch							
107	codeBook/stdyDscr/dataAccs/setAvail/avlStatus							
108	codeBook/stdyDscr/dataAccs/setAvail/fileQnty							
109	codeBook/stdyDscr/dataAccs/useStmt							
110	codeBook/stdyDscr/dataAccs/useStmt/confDec	required						
111	codeBook/stdyDscr/dataAccs/useStmt/restrctn							
112	codeBook/stdyDscr/dataAccs/useStmt/contact	affiliation	URI	email				
113	codeBook/stdyDscr/dataAccs/useStmt/citReq							
114	codeBook/stdyDscr/dataAccs/useStmt/deposReq							
115	codeBook/stdyDscr/dataAccs/useStmt/conditions							
116	codeBook/stdyDscr/dataAccs/useStmt/disclaimer							
117	codeBook/stdyDscr/othrStdyMat							
118	codeBook/stdyDscr/othrStdyMat/relMat							
119	codeBook/stdyDscr/othrStdyMat/relMat/citation							
120	codeBook/stdyDscr/othrStdyMat/relMat/citation/titlStmt							
121	codeBook/stdyDscr/othrStdyMat/relMat/citation/titlStmt/titl							
122	codeBook/stdyDscr/othrStdyMat/relMat/citation/holdings	URI						
123	codeBook/stdyDscr/othrStdyMat/relStdy							
124	codeBook/stdyDscr/othrStdyMat/relStdy/citation							
125	codeBook/stdyDscr/othrStdyMat/relStdy/citation/titlStmt							
126	codeBook/stdyDscr/othrStdyMat/relStdy/citation/titlStmt/titl							
127	codeBook/stdyDscr/othrStdyMat/relStdy/citation/holdings	URI						
128	codeBook/stdyDscr/othrStdyMat/relPubl/citation/notes							
129	codeBook/stdyDscr/othrStdyMat/relPubl							
130	codeBook/stdyDscr/othrStdyMat/relPubl/citation							
131	codeBook/stdyDscr/othrStdyMat/relPubl/citation/titlStmt							
132	codeBook/stdyDscr/othrStdyMat/relPubl/citation/titlStmt/titl							
133	codeBook/stdyDscr/othrStdyMat/relPubl/citation/holdings	URI						
134	codeBook/stdyDscr/othrStdyMat/othRefs							
135	codeBook/stdyDscr/othrStdyMat/othRefs/citation							
136	codeBook/stdyDscr/othrStdyMat/othRefs/citation/titlStmt							
137	codeBook/stdyDscr/othrStdyMat/othRefs/citation/titlStmt/titl							
138	codeBook/stdyDscr/othrStdyMat/othRefs/citation/holdings	URI						
139	codeBook/fileDscr	URI						
140	codeBook/fileDscr/fileTxt							
141	codeBook/fileDscr/fileTxt/fileName	ID						
142	codeBook/fileDscr/fileTxt/fileCont							
143	codeBook/fileDscr/fileTxt/dimensns							
144	codeBook/fileDscr/fileTxt/dimensns/caseQnty							
145	codeBook/fileDscr/fileTxt/dimensns/varQnty							
146	codeBook/fileDscr/fileTxt/fileType							
147	codeBook/fileDscr/fileTxt/dataMsng							
148	codeBook/fileDscr/notes							
149	codeBook/dataDscr							
150	codeBook/dataDscr/varGrp	ID	type	var	varGrp			
151	codeBook/dataDscr/varGrp/labl							
152	codeBook/dataDscr/varGrp/txt							
153	codeBook/dataDscr/var	ID	name	wgt	wgt-var	files	dcml	intrvl
154	codeBook/dataDscr/var/location	width	RecSegNo					
155	codeBook/dataDscr/var/labl							
156	codeBook/dataDscr/var/qstn							
157	codeBook/dataDscr/var/qstn/preQTxt							
158	codeBook/dataDscr/var/qstn/qstnLit							
159	codeBook/dataDscr/var/qstn/postQTxt							
160	codeBook/dataDscr/var/qstn/ivuInstr							
161	codeBook/dataDscr/var/valrng							
162	codeBook/dataDscr/var/valrng/range	UNITS	min	max				
163	codeBook/dataDscr/var/invalrng							
164	codeBook/dataDscr/var/invalrng/item	UNITS	VALUE					
165	codeBook/dataDscr/var/invalrng/range	UNITS	min	max				
166	codeBook/dataDscr/var/universe	clusion						
167	codeBook/dataDscr/var/sumStat	wgtd	type					
168	codeBook/dataDscr/var/txt							
169	codeBook/dataDscr/var/catgry	missing						
170	codeBook/dataDscr/var/catgry/catValu							
171	codeBook/dataDscr/var/catgry/labl							
172	codeBook/dataDscr/var/catgry/catStat	type	wgtd					
173	codeBook/dataDscr/var/concept							
174	codeBook/dataDscr/var/varFormat	type	formatname	schema	category			
175	codeBook/dataDscr/var/notes							
176	codeBook/otherMat	level	URI					
177	codeBook/otherMat/labl							
178	codeBook/otherMat/txt							
